Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"877993448","857465087","MODI","TRAD","2024-01-22T22:13:06Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-12T17:26:06Z","2024-01-12","2057-10-17","","false","BILT","false","false","false","3,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","342075.00000","MNTH","","","","1","","","","UFRO","USD","USD","","","","","false","1","137BERAH0","","REDID","CMBX.NA.BBB-.8","","","","","","false","","","","","","","","Cash"
"877993449","845554394","MODI","TRAD","2024-01-22T22:13:04Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:41:52Z","2024-01-03","2057-10-17","","false","BILT","false","false","false","500,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAH0","","REDID","CMBX.NA.BBB-.8","","","","","","false","","","","","","","","Cash"
"877995020","871534657","MODI","TRAD","2024-01-22T22:15:03Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-19T13:28:37Z","2024-01-18","2057-10-17","","false","BILT","false","false","false","510,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAH0","","REDID","CMBX.NA.BBB-.8","","","","","","false","","","","","","","","Cash"
"877996842","845554384","MODI","TRAD","2024-01-22T22:18:06Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:41:05Z","2024-01-03","2058-09-17","","false","BILT","false","false","false","1,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAI8","","REDID","CMBX.NA.BBB-.9","","","","","","false","","","","","","","","Cash"
"877997478","877842588","CORR","","2024-01-22T22:48:28Z","","CR","Credit:TotalReturnSwap","N","false","2024-01-22T18:38:19Z","2024-01-23","2024-07-23","","false","BILT","false","false","false","100,000,000+","96,158,995","USD","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.0018","","","","","","false","","","3","","3","A004","","","","","","","","","EXPI","","","","1","","","","","","USD","USD","","","","false","","US91282CJJ18","","ISIN","9A3AAA","","","","","","false","","","","","","","","Cash"
"877997652","845554427","MODI","TRAD","2024-01-22T22:19:06Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:41:52Z","2024-01-03","2058-09-17","","false","BILT","false","false","false","500,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAI8","","REDID","CMBX.NA.BBB-.9","","","","","","false","","","","","","","","Cash"
"877998241","877713556","CORR","","2024-01-22T17:13:02Z","","CR","Credit:Index:CDX:CDXHY","N","false","2023-12-29T14:56:39Z","2023-12-29","2032-12-31","","false","XXXX","false","false","false","100,000,000+","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.173511","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","true","","Bespokeba","","Basket","PROJECT_ASCENSION_BANKUSA","","","","","","false","","","","","","","","Cash"
"877998242","877713556","CORR","","2024-01-22T16:54:08Z","","CR","Credit:Index:CDX:CDXHY","N","false","2023-12-29T14:56:39Z","2023-12-29","2032-12-31","","false","XXXX","false","false","false","100,000,000+","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.173511","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","true","","Bespokeba","","Basket","PROJECT_ASCENSION_BANKUSA","","","","","","false","","","","","","","","Cash"
"877905708","856270284","MODI","TRAD","2024-01-22T21:19:46Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-11T16:27:09Z","2024-01-11","2059-11-17","","false","BILT","false","false","false","1,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAJ6","","REDID","CMBX.NA.BBB-.10","","","","","","false","","","","","","","","Cash"
"877906003","867072063","MODI","TRAD","2024-01-22T21:19:54Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-16T21:23:50Z","2024-01-16","2059-11-17","","false","BILT","false","false","false","2,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAJ6","","REDID","CMBX.NA.BBB-.10","","","","","","false","","","","","","","","Cash"
