Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"881928641","","NEWT","TRAD","2024-01-25T08:19:08Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","false","2024-01-25T08:19:08Z","2024-01-26","2028-12-20","","false","BBSF","false","false","","75,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.00687975","","","","","","false","","","3","","","A004","","","","","","","","1136499.78000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667DCO0","","REDID","MKIT ITRX EUR SNR FIN 12/28 I","","","","","","false","","","","","","","",""
"881926782","","NEWT","TRAD","2024-01-25T08:18:15Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:18:15Z","2024-01-26","2028-12-20","","false","BBSF","false","false","","41,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005968","","","","","","false","","","3","","","A004","","","","","","","","793261.92000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"881928104","","NEWT","TRAD","2024-01-25T08:18:43Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:18:43Z","2024-01-26","2028-12-20","","false","BBSF","false","false","","5,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005968","","","","","","false","","","3","","","A004","","","","","","","","96739.15882","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"881928239","","NEWT","TRAD","2024-01-25T08:18:49Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:18:49Z","2024-01-26","2026-12-20","","false","BBSF","false","false","","50,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.018","","","","","","false","","","3","","","A004","","","","","","","","4511649.98000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","0.98666","2I667KKO5","","REDID","MKIT ITRX EUR XOVER 12/26 ICE","","","","","","true","","","","0.018","","3","",""
"881911717","","NEWT","TRAD","2024-01-25T08:14:08Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:14:08Z","2024-01-26","2028-12-20","","false","BBSF","false","false","","20,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005943","","","","","","false","","","3","","","A004","","","","","","","","389265.92000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"881892007","","NEWT","TRAD","2024-01-25T08:09:10Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:09:10Z","2024-01-26","2028-12-20","","false","BBSF","false","false","","50,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0059604","","","","","","false","","","3","","","A004","","","","","","","","969147.22000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"881881978","","NEWT","TRAD","2024-01-25T08:03:52Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:03:52Z","2024-01-26","2028-12-20","","false","BBSF","false","false","","10,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.03238","","","","","","false","","","3","","","A004","","","","","","","","772767.79000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"881869756","","NEWT","TRAD","2024-01-25T08:00:48Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:00:48Z","2024-01-26","2028-12-20","","","TWSF","false","false","","400,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.032453","","","","","","false","","","3","","","A004","","","","","","","","30783.05000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","","","","","","","false","","","","","","","",""
"881870167","","NEWT","TRAD","2024-01-25T08:00:54Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:00:54Z","2024-01-26","2028-12-20","","","TWSF","false","false","","1,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0059679","","","","","","false","","","3","","","A004","","","","","","","","19348.29604","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","","","","","","","false","","","","","","","",""
"881870452","","NEWT","TRAD","2024-01-25T08:00:59Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-25T08:00:59Z","2024-01-26","2028-12-20","","","TWSF","false","false","","1,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0068728","","","","","","false","","","3","","","A004","","","","","","","","15185.27683","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667DCO0","","REDID","","","","","","","false","","","","","","","",""
"881503531","","NEWT","TRAD","2024-01-25T06:32:34Z","","CR","Credit:Index:iTraxx:iTraxxAsiaExJapan","I","false","2024-01-25T06:32:34Z","2024-01-26","2028-12-20","","","TWSF","false","false","","800,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0097","","","","","","false","","","3","","","A004","","","","","","","","1860.38000","MNTH","","","","3","","","","UFRO","USD","","","","","","false","1","4ABCAMBK1","","REDID","","","","","","","false","","","","","","","",""
"881774351","828417450","EROR","","2024-01-25T07:36:49Z","","CR","Credit:Index:CMBX:CMBX","N","false","2013-04-04T19:52:18Z","2013-04-04","2063-05-11","","false","XXXX","false","false","false","13,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","false","","","","","","","","","","","","","","0.00000;0.00000;6.98880;0.12480;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000","","","","","","","","","UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN","USD;USD;USD;USD;USD;USD;USD;USD;USD;USD","","USD","","","","false","1","137BENAF3","","REDID","","","","","","","false","0","","3","","","","",""
"881746967","828417454","EROR","","2024-01-25T07:32:42Z","","CR","Credit:Index:CMBX:CMBX","N","false","2013-03-04T19:01:10Z","2013-03-04","2063-05-11","","false","XXXX","false","false","false","30,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","false","","","","","","","","","","","","","","0.00000;0.00000;16.13000;0.29000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000","","","","","","","","","UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN;UWIN","USD;USD;USD;USD;USD;USD;USD;USD;USD;USD","","USD","","","","false","1","137BENAF3","","REDID","","","","","","","false","0","","3","","","","",""
"882774287","882388472","CORR","","2024-01-25T15:15:25Z","false","CR","Credit:Swaptions:CDX:CDXSwaption","N","true","2024-01-25T15:15:25Z","2023-09-20","2024-04-17","","false","BILT","false","false","false","100,000,000+","","USD","","","","","","","","","","","","100000000+","","2023-09-20","","","","","","","","100000000+","","USD","","","","2024-04-17","0.05","","524,700","USD","","","","","USD","EUR","103.5","","false","","","3","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","USD","","","","","false","","2I65BRAB1","","REDID","CDX.NA.HY.41-V2","","","","PUT","EUROPEAN","false","","","","","","","",""
"882774306","882673882","TERM","ETRM","2024-01-25T20:51:26Z","","CR","Credit:Index:CMBX:CMBX","N","","2024-01-25T20:51:26Z","2024-01-25","2064-11-18","","false","BILT","false","","false","25,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","false","","","","","","","","","","","","","","308628.83000","","","","","","","","","UFRO","USD","USD","","","","","false","1","137BENAO4","","REDID","","","","","","","false","","","","","","","",""
"882775718","","NEWT","NOVA","2024-01-25T22:46:35Z","","CR","Credit:Index:CDX:CDXHY","N","true","2024-01-25T22:46:35Z","2023-09-20","2028-12-20","","false","TWEM","false","false","false","450,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","false","","","","","","A004","","","","","","","","93103.33439;10274.33000;10970.30000;14001.02000","MNTH","","","","3","","","","UFRO;UWIN;UWIN;UWIN","USD;USD;USD;USD","","","","","","false","0.99","2I65BRAB1","","REDID","CDX.NA.HY.41-V2","","","","","","true","","","","7,200","","4","","Optional"
"882775737","882775718","TERM","ETRM","2024-01-25T22:46:35Z","","CR","Credit:Index:CDX:CDXHY","N","","2024-01-25T22:46:35Z","2023-09-20","2028-12-20","","false","TWEM","false","","false","450,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","false","","","","","","","","","","","","","","93103.33439;10274.33000;10970.30000;14001.02000","","","","","","","","","UFRO;UWIN;UWIN;UWIN","USD;USD;USD;USD","","","","","","false","","2I65BRAB1","","REDID","","","","","","","","","","","","","","",""
