Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
"1118720092","881448963","MODI","TRAD","2023-06-23T14:55:14Z","true","CO","Commodity:Agricultural:Softs:Exotic","N","false","2023-06-23T14:26:26Z","2023-06-23","2024-11-11","","true","XOFF","false","false","false","13,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","1.353","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","COFFEE ARA ICE","","","","","false","","","","","","","","Cash","","",""
"1118720093","983033580","MODI","TRAD","2024-04-29T17:04:14Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2024-04-29T16:54:13Z","2024-04-26","2024-11-23","","true","XOFF","false","false","false","45,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01993","USD","","","","","","","4.255","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","Cash","","",""
"1118720094","1047474697","MODI","TRAD","2024-06-24T16:12:25Z","true","CO","Commodity:Energy:Oil:Exotic","N","false","2024-06-24T16:08:13Z","2024-06-24","2024-10-18","","true","XOFF","false","false","false","260","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","76.94","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Jet Fuel","","","","WTI NMX","","","","","false","","","","","","","","Cash","","",""
"1118720095","1100146738","MODI","TRAD","2024-08-02T18:37:29Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2024-08-02T17:46:58Z","2024-08-02","2025-02-22","","true","XOFF","false","false","false","36,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","4.175","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","Cash","","",""
"1118720096","857889703","MODI","TRAD","2023-07-24T15:06:30Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2023-07-24T15:02:11Z","2023-07-28","2024-10-26","","true","XOFF","false","false","false","455","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","13.0525","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","SOYBEAN CBT","","","","","false","","","","","","","","Cash","","",""
"1118720097","929297535","MODI","TRAD","2024-03-11T18:08:40Z","true","CO","Commodity:Agricultural:Softs:Exotic","N","false","2024-03-11T17:45:49Z","2024-03-11","2025-08-11","","true","XOFF","false","false","false","39,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","1.647","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","COFFEE ARA ICE","","","","","false","","","","","","","","Cash","","",""
"1118720098","1057991650","MODI","TRAD","2024-07-02T16:47:42Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2024-07-02T16:17:17Z","2024-07-02","2025-02-24","","true","XOFF","false","false","false","40,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","3.9975","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","Cash","","",""
"1118720099","857889179","MODI","TRAD","2023-10-02T15:45:28Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2023-10-02T15:43:46Z","2023-10-06","2025-06-21","","true","XOFF","false","false","false","2,400","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","5.285","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","Cash","","",""
"1118720100","1107720359","MODI","TRAD","2024-08-08T13:46:30Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2024-08-08T13:40:30Z","2024-08-08","2025-10-27","","true","XOFF","false","false","false","5,900","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","10.58","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","SOYBEAN CBT","","","","","false","","","","","","","","Cash","","",""
"1118720101","910207139","MODI","TRAD","2024-02-22T18:02:25Z","true","CO","Commodity:Agricultural:GrainsOilSeeds:Exotic","N","false","2024-02-22T17:53:52Z","2024-02-22","2024-08-26","","true","XOFF","false","false","false","10","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","USD","","","","","","","322.5","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","SOYMEAL CBT","","","","","false","","","","","","","","Cash","","",""
