Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"883694172","","NEWT","TRAD","2024-01-26T09:40:53Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:40:53Z","2024-01-27","2027-12-20","","false","BBSF","false","false","","30,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.0225","","","","","","false","","","3","","","A004","","","","","","","","2994396.80000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","0.98666","2I667KKI8","","REDID","MKIT ITRX EUR XOVER 12/27 ICE","","","","","","true","","","","0.0225","","3","",""
"883694248","","NEWT","TRAD","2024-01-26T09:41:11Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:41:11Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","45,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.00582","","","","","","false","","","3","","","A004","","","","","","","","903454.62000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"883694337","","NEWT","TRAD","2024-01-26T09:41:22Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:41:22Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","15,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.031751","","","","","","false","","","3","","","A004","","","","","","","","1203624.77000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"883694752","","NEWT","TRAD","2024-01-26T09:37:32Z","","CR","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","N","false","2024-01-26T09:37:32Z","2024-01-27","2024-03-20","2028-12-20","false","BILT","false","false","false","92,230,001+","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-03-20","0.01","","934,817.94","EUR","","","","","","","0.825","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QMC4","","CUSIP","iTraxx Europe Series 40 Version 1","","","","CALL","EUROPEAN","false","","","","","","","","Physical"
"883695071","","NEWT","TRAD","2024-01-26T09:42:34Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:42:34Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","25,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.0318","","","","","","false","","","3","","","A004","","","","","","","","2000654.47000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"883685304","","NEWT","TRAD","2024-01-26T09:28:16Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:28:16Z","2024-01-27","2028-12-20","","false","BBSF","false","true","","30,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.031775","","","","","","false","","","3","","","A004","","","","","","","","2404083.11000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"883695437","","NEWT","TRAD","2024-01-26T09:42:42Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:41:38Z","2024-01-27","2028-12-20","","","BGCO","false","false","false","25,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","2I666VDI3","","REDID","iTraxx Europe Series 40 Version 1","","","","","","false","","","","","","","","Physical"
"883695556","","NEWT","TRAD","2024-01-26T09:38:13Z","","CR","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","N","false","2024-01-26T09:38:13Z","2024-01-27","2024-03-20","2028-12-20","false","BILT","false","false","false","92,230,001+","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-03-20","0.01","","549,030.3075","EUR","","","","","","","0.725","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QMC4","","CUSIP","iTraxx Europe Series 40 Version 1","","","","CALL","EUROPEAN","false","","","","","","","","Physical"
"883695968","","NEWT","TRAD","2024-01-26T09:44:59Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:44:59Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","42,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0058","","","","","","false","","","3","","","A004","","","","","","","","847111.30000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","true","","","","0.0058","","3","",""
"883696634","","NEWT","TRAD","2024-01-26T09:46:15Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:46:15Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","15,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005815","","","","","","false","","","3","","","A004","","","","","","","","301498.57000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
