Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"879230492","879229938","TERM","CLRG","2024-01-23T14:41:30Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","false","2024-01-23T14:41:30Z","2024-01-24","2028-12-20","","","BTFE","false","false","false","12,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","3","","","","","","EUR","EUR","","","","false","1","2I667DCO0","","Basket","","","","","","","false","","","","","","","",""
"879235758","","NEWT","TRAD","2024-01-23T15:06:50Z","","CR","Credit:Swaptions:CDX:CDXSwaption","N","false","2024-01-23T15:06:50Z","2024-01-24","2024-03-20","2028-12-20","false","BILT","false","false","false","70,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-03-20","0.01","","60,900","USD","","","","","","","0.625","","false","","","","","3","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","9EI01QKW2","","CUSIP","CDX.NA.IG.41","","","","PUT","EUROPEAN","true","","","","9","","4","","Physical"
"879235909","","NEWT","TRAD","2024-01-23T15:11:18Z","","CR","Credit:Index:CDX:CDXEmergingMarkets","I","false","2024-01-23T15:11:18Z","2023-09-20","2028-12-20","","false","BGCD","false","false","","10,000,000","","USD","","","","","","","","","","","","10000000","","2023-09-20","","2028-12-20","","","","","","","","","","","","","","","","","","","96.54","","USD","","","","false","","","1","","","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","2I65BZFE7","","REDID","","","","","","","false","","","","","","","",""
"879235910","","NEWT","TRAD","2024-01-23T15:11:19Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-23T15:11:19Z","2024-01-24","2028-12-20","","false","BBSF","false","false","","11,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.032686","","","","","","false","","","3","","","A004","","","","","","","","833151.49000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"879235916","879235909","CORR","","2024-01-23T15:11:18Z","","CR","Credit:Index:CDX:CDXEmergingMarkets","I","true","2024-01-23T15:11:18Z","2023-09-20","2028-12-20","","false","BGCD","false","false","","10,000,000","","USD","","","","","","","","","","","","10000000","","2023-09-20","","2028-12-20","","","","","","","","","","","","","","","","","","","96.54","","USD","","","","false","","","1","","","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","2I65BZFE7","","REDID","","","","","","","false","","","","","","","",""
"879235946","","NEWT","TRAD","2024-01-23T15:11:30Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-23T15:11:30Z","2023-09-20","2028-12-20","","false","GSEF","false","false","","25,000,000","","EUR","","","","","","","","","","","","25000000","","2023-09-20","","2028-12-20","","","","","","","","","","","","","","","","","","","0.0060125","","","","","","false","","","3","","","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","1","2I666VDI3","","REDID","","","","","","","false","","","","","","","",""
"879235959","","NEWT","TRAD","2024-01-23T15:11:34Z","","CR","Credit:Index:CDX:CDXIG","I","true","2024-01-23T15:11:34Z","2024-01-24","2028-12-20","","false","BBSF","false","false","","25,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0055424","","","","","","false","","","3","","","A004","","","","","","","","515285.72000","MNTH","","","","3","","","","UFRO","USD","","","","","","false","1","2I65BYED3","","REDID","MARKIT CDX.NA.IG.41 12/28 ICE","","","","","","false","","","","","","","",""
"879235975","","NEWT","TRAD","2024-01-23T15:11:41Z","","CR","Credit:Index:CDX:CDXHY","I","true","2024-01-23T15:11:41Z","2024-01-24","2028-12-20","","false","BBSF","false","false","","10,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.01057975","","","","","","false","","","3","","","A004","","","","","","","","622077.50000","MNTH","","","","3","","","","UFRO","USD","","","","","","false","0.99","2I65BRAB1","","REDID","MARKIT CDX.NA.HY.41 12/28 ICE","","","","","","false","","","","","","","",""
"879236142","","NEWT","TRAD","2024-01-23T15:11:32Z","false","CR","Credit:Index:iTraxx:iTraxxEurope","N","true","2024-01-23T15:11:32Z","2023-09-20","2028-12-20","","false","BILT","false","false","false","25,000,000","","EUR","","","","","","","","","","","","25000000","","2023-09-20","","","","","","","","","","","","","","","0.01","","","","","","","","USD","EUR","","","false","","","3","","","A004","","","","","","","","","MNTH","","","","3","","","","","","EUR","","","","","false","","2I667DCO0","","REDID","iTraxx Europe Senior Financials Series 40 Version 1","","","","","","false","","","","","","","",""
"879236191","","NEWT","TRAD","2024-01-23T15:11:15Z","false","CR","Credit:Index:iTraxx:iTraxxEurope","N","true","2024-01-23T15:11:15Z","2023-09-20","2028-12-20","","false","BILT","false","false","false","25,000,000","","EUR","","","","","","","","","","","","25000000","","2023-09-20","","","","","","","","","","","","","","","0.01","","","","","","","","USD","EUR","","","false","","","3","","","A004","","","","","","","","","MNTH","","","","3","","","","","","EUR","","","","","false","","2I666VDI3","","REDID","iTraxx Europe Series 40 Version 1","","","","","","false","","","","","","","",""
