"Dissemination Identifier","Original Dissemination Identifier","Action type","Event type","Event timestamp","Amendment indicator","Asset Class","Product name","Cleared","Mandatory clearing indicator","Execution Timestamp","Effective Date","Expiration Date","Maturity date of the underlier","Non-standardized term indicator","Platform identifier","Prime brokerage transaction indicator","Block trade election indicator","Large notional off-facility swap election indicator","Notional amount-Leg 1","Notional amount-Leg 2","Notional currency-Leg 1","Notional currency-Leg 2","Notional quantity-Leg 1","Notional quantity-Leg 2","Total notional quantity-Leg 1","Total notional quantity-Leg 2","Quantity frequency multiplier-Leg 1","Quantity frequency multiplier-Leg 2","Quantity unit of measure-Leg 1","Quantity unit of measure-Leg 2","Quantity frequency-Leg 1","Quantity frequency-Leg 2","Notional amount in effect on associated effective date-Leg 1","Notional amount in effect on associated effective date-Leg 2","Effective date of the notional amount-Leg 1","Effective date of the notional amount-Leg 2","End date of the notional amount-Leg 1","End date of the notional amount-Leg 2","Call amount","Call currency","Put amount","Put currency","Exchange rate","Exchange rate basis","First exercise date","Fixed rate-Leg 1","Fixed rate-Leg 2","Option Premium Amount","Option Premium Currency","Price","Price unit of measure","Spread-Leg 1","Spread-Leg 2","Spread currency-Leg 1","Spread currency-Leg 2","Strike Price","Strike price currency/currency pair","Post-priced swap indicator","Price currency","Price notation","Spread notation-Leg 1","Spread notation-Leg 2","Strike price notation","Fixed rate day count convention-leg 1","Fixed rate day count convention-leg 2","Floating rate day count convention-leg 1","Floating rate day count convention-leg 2","Floating rate reset frequency period-leg 1","Floating rate reset frequency period-leg 2","Floating rate reset frequency period multiplier-leg 1","Floating rate reset frequency period multiplier-leg 2","Other payment amount","Fixed rate payment frequency period-Leg 1","Floating rate payment frequency period-Leg 1","Fixed rate payment frequency period-Leg 2","Floating rate payment frequency period-Leg 2","Fixed rate payment frequency period multiplier-Leg 1","Floating rate payment frequency period multiplier-Leg 1","Fixed rate payment frequency period multiplier-Leg 2","Floating rate payment frequency period multiplier-Leg 2","Other payment type","Other payment currency","Settlement currency-Leg 1","Settlement currency-Leg 2","Settlement location","Collateralisation category","Custom basket indicator","Index factor","Underlier ID-Leg 1","Underlier ID-Leg 2","Underlier ID source-Leg 1","Underlying Asset Name","Underlying asset subtype or underlying contract subtype-Leg 1","Underlying asset subtype or underlying contract subtype-Leg 2","Embedded Option type","Option Type","Option Style","Package indicator","Package transaction price","Package transaction price currency","Package transaction price notation","Package transaction spread","Package transaction spread currency","Package transaction spread notation","Physical delivery location-Leg 1","Delivery Type","Unique Product Identifier","UPI FISN","UPI Underlier Name"
"3169385423000000101","882776316","MODI","TRAD","2026-05-17T19:03:12Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2023-11-13T00:00:00Z","2025-04-03","2040-04-02","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","2,173,859+","2,000,000+","2,173,859+","","","MWHO","MWHO","ONDE","ONDE","100000000+","99997507","2025-04-03","2025-04-03","2040-04-02","2040-04-02","","","","","","","","","","","","46","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169385424000000101","882776315","CORR","","2026-05-17T16:15:13Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2023-12-06T18:00:05Z","2025-10-01","2040-09-30","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","2,144,451+","2,000,000+","2,144,451+","","","MWHO","MWHO","ONDE","ONDE","100000000+","99999575","2025-10-01","2025-10-01","2040-09-30","2040-09-30","","","","","","","","","","","","46.631777","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169382823000000101","1112282059","MODI","TRAD","2026-05-17T13:05:24Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2024-07-30T20:47:17Z","2025-12-29","2045-12-29","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","1,851,839+","2,000,000+","1,851,839+","","","MWHO","MWHO","ONDE","ONDE","100000000+","99999328","2025-12-29","2025-12-29","2045-12-29","2045-12-29","","","","","","","","","","","","54","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169444312000000101","1934006907000000101","MODI","TRAD","2026-05-15T23:13:20Z","FALSE","CO","Commodity:Index:Swap:Cash","N","FALSE","2026-02-02T20:40:38Z","2026-02-02","2027-02-16","","FALSE","XXXX","FALSE","FALSE","TRUE","60,000,000","60,000,000","USD","USD","170,000","","170,000","","1","","IPNT","","DAIL","","","","","","","","","","","","","","","","","","","292.293892368","ACCY","","0.09","","","","","false","USD","1","","3","","","","NARR","A004","DAIL","DAIL","1","1","","","DAIL","","DAIL","","1","","1","","","USD","USD","","","false","","Composite Commodity Indices","","","","BCOMTR-Bloomberg Commodity Index TR","","","","","FALSE","","","","","","","","Cash","","",""
"3169381318000000101","1113771342","CORR","","2026-05-17T13:05:23Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2025-10-16T21:01:33Z","2025-12-30","2040-12-30","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","1,769,925+","2,000,000+","1,769,925+","","","MWHO","MWHO","ONDE","ONDE","100000000+","100000000+","2025-12-30","2025-12-30","2040-12-30","2040-12-30","","","","","","","","","","","","56.5","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169475294000000201","","NEWT","TRAD","2026-05-17T22:00:51Z","","CO","Commodity:Energy:Oil:Swap:Cash","N","FALSE","2026-05-17T22:00:51Z","2026-07-01","2026-07-31","","FALSE","XXXX","FALSE","FALSE","FALSE","950,000","","USD","","10,000","","10,000","","1","","BARL","","MNTH","","","","","","","","","","","","","","","","","","","95","ACCY","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","OIL","","","","Oil, Gulf Coast (PADD 3)","","","","","FALSE","","","","","","","","Cash","","",""
"3169477122000000401","","NEWT","TRAD","2026-05-17T22:15:19Z","","CO","Commodity:Energy:Oil:Swap:Cash","N","FALSE","2026-05-17T22:15:19Z","2026-05-19","2026-05-19","","FALSE","XXXX","FALSE","FALSE","FALSE","10,000","","USD","","90","","90","","1","","BARL","","EXPI","","","","","","","","","","","","","","","","","","","99.9999616","ACCY","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","OIL","","","","Oil, Gulf Coast (PADD 3)","","","","","FALSE","","","","","","","","Cash","","",""
"3170074284000000101","884141249","MODI","TRAD","2026-05-17T23:36:29Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2023-12-29T12:21:00Z","2024-01-01","2026-12-31","","FALSE","XXXX","FALSE","FALSE","FALSE","9,000,000","9,000,000","USD","USD","260,000","257,144","260,000","257,144","","","MWHO","MWHO","ONDE","ONDE","9000000","9000027","2024-01-01","2024-01-01","2026-12-31","2026-12-31","","","","","","","","","","","","35","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3170124325000000101","825652200","MODI","TRAD","2026-05-17T23:30:50Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2022-12-06T05:00:00Z","2024-01-01","2035-12-31","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","2,454,005+","2,000,000+","2,454,005+","","","MWHO","MWHO","ONDE","ONDE","100000000+","100000000+","2024-01-01","2024-01-01","2035-12-31","2035-12-31","","","","","","","","","","","","40.75","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3167921161000000101","884141776","MODI","TRAD","2026-05-17T00:32:56Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2018-05-16T19:19:00Z","2020-05-01","2040-04-30","","FALSE","XXXX","FALSE","FALSE","FALSE","78,000,000","78,000,000","USD","USD","3,000,000","2,500,005","3,000,000","2,500,005","","","MWHO","MWHO","ONDE","ONDE","78000000","78000145","2020-05-01","2020-05-01","2040-04-30","2040-04-30","","","","","","","","","","","","31.2","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3167921160000000101","884141778","MODI","TRAD","2026-05-17T00:42:31Z","TRUE","CO","Commodity:Energy:Elec:SpotFwd:Physical","N","FALSE","2014-07-01T16:00:00Z","2021-01-01","2034-12-31","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","3,000,000+","2,789,833+","3,000,000+","2,789,833+","","","MWHO","MWHO","ONDE","ONDE","100000000+","100000000+","2021-01-01","2021-01-01","2034-12-31","2034-12-31","","","","","","","","","","","","35.844545","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","CashOrPhysical","","",""
"3167921158000000101","884141774","MODI","TRAD","2026-05-17T00:33:35Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2016-01-01T05:00:00Z","2016-07-01","2028-06-30","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","5,000,000+","4,543,744+","5,000,000+","4,543,744+","","","MWHO","MWHO","ONDE","ONDE","100000000+","99999948","2016-07-01","2016-07-01","2028-06-30","2028-06-30","","","","","","","","","","","","22.008273","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169382821000000101","884141250","MODI","TRAD","2026-05-17T16:15:30Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2019-07-15T19:19:00Z","2021-01-01","2035-12-31","","FALSE","XXXX","FALSE","FALSE","FALSE","93,000,000","93,000,000","USD","USD","7,000,000","6,813,211","7,000,000","6,813,211","","","MWHO","MWHO","ONDE","ONDE","93000000","93000329","2021-01-01","2021-01-01","2035-12-31","2035-12-31","","","","","","","","","","","","13.65","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169382820000000101","825652200","MODI","TRAD","2026-05-17T16:15:24Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2022-12-06T05:00:00Z","2024-01-01","2035-12-31","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","2,454,420+","2,000,000+","2,454,420+","","","MWHO","MWHO","ONDE","ONDE","100000000+","99999896","2024-01-01","2024-01-01","2035-12-31","2035-12-31","","","","","","","","","","","","40.742775","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
"3169441531000000501","3145857109000000101","CORR","","2026-05-17T21:04:42Z","","CO","Commodity:Metals:NonPrecious:Swap:Cash","N","FALSE","2026-05-15T08:04:28Z","2026-05-18","2026-11-30","","FALSE","BILT","FALSE","FALSE","FALSE","15,000,000","","JPY","","5","","5","","1","1","TONE","","MNTH","","5","","2026-11-01","","2026-11-30","","","","","","","","","","","","","","","","-20,960","","JPY","","","false","","","","1","","","","","","","","","","","","","","","","","","","","","JPY","JPY","","","false","","Metals","Metals","","","Copper, Other","Copper, Other","","","","TRUE","9.9999999999","","3","","","","","Cash","","",""
"3169441532000000601","3145857111000000301","CORR","","2026-05-17T21:04:42Z","","CO","Commodity:Metals:NonPrecious:Swap:Cash","N","FALSE","2026-05-15T08:05:07Z","2026-05-18","2026-12-31","","FALSE","BILT","FALSE","FALSE","FALSE","500,000,000","","JPY","","240","","240","","1","1","TONE","","MNTH","","5","","2026-12-01","","2026-12-31","","","","","","","","","","","","","","","","-25,600","","JPY","","","false","","","","1","","","","","","","","","","","","","","","","","","","","","JPY","JPY","","","false","","Metals","Metals","","","Copper, Other","Copper, Other","","","","TRUE","9.9999999999","","3","","","","","Cash","","",""
"3169477121000000301","","NEWT","TRAD","2026-05-17T22:15:19Z","","CO","Commodity:Energy:Oil:Swap:Cash","N","FALSE","2026-05-17T22:15:19Z","2026-05-19","2026-05-19","","FALSE","XXXX","FALSE","FALSE","FALSE","10,000","","USD","","90","","90","","1","","BARL","","EXPI","","","","","","","","","","","","","","","","","","","99.9999616","ACCY","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","OIL","","","","Oil, Gulf Coast (PADD 3)","","","","","FALSE","","","","","","","","Cash","","",""
"3169475293000000101","","NEWT","TRAD","2026-05-17T22:00:59Z","","CO","Commodity:Energy:Oil:Swap:Cash","N","FALSE","2026-05-17T22:00:59Z","2026-06-01","2026-06-30","","FALSE","XXXX","FALSE","FALSE","FALSE","2,000,000","","USD","","22,000","","22,000","","1","","BARL","","MNTH","","","","","","","","","","","","","","","","","","","90.909","ACCY","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","OIL","","","","Oil, Gulf Coast (PADD 3)","","","","","FALSE","","","","","","","","Cash","","",""
"3169477123000000501","","NEWT","TRAD","2026-05-17T22:15:19Z","","CO","Commodity:Energy:Oil:Swap:Cash","N","FALSE","2026-05-17T22:15:19Z","2026-05-19","2026-05-19","","FALSE","XXXX","FALSE","FALSE","FALSE","10,000","","USD","","90","","90","","1","","BARL","","EXPI","","","","","","","","","","","","","","","","","","","99.9999616","ACCY","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","OIL","","","","Oil, Gulf Coast (PADD 3)","","","","","FALSE","","","","","","","","Cash","","",""
"3170074282000000101","791384576","MODI","TRAD","2026-05-17T23:30:30Z","TRUE","CO","Commodity:Energy:Elec:Swap:Cash","N","FALSE","2022-12-26T05:00:00Z","2024-12-30","2036-12-29","","FALSE","XXXX","FALSE","FALSE","FALSE","100,000,000+","100,000,000+","USD","USD","2,000,000+","2,463,038+","2,000,000+","2,463,038+","","","MWHO","MWHO","ONDE","ONDE","100000000+","99999339","2024-12-30","2024-12-30","2036-12-29","2036-12-29","","","","","","","","","","","","40.6","MWHO","","","","","","","false","USD","1","","","","","","","","","","","","","","","","","","","","","","","USD","","","","false","","Electricity","","","","","","","","","FALSE","0","USD","1","","","","","Cash","","",""
